
002-(91): D_cost: -5.554  Wasserstein_D: 6.316  G_cost: -0.345  
002-(92): D_cost: -5.376  Wasserstein_D: 6.021  G_cost: 0.518  
002-(93): D_cost: -5.242  Wasserstein_D: 6.010  G_cost: -1.158  
002-(94): D_cost: -5.541  Wasserstein_D: 6.246  G_cost: -1.704  
002-(95): D_cost: -5.481  Wasserstein_D: 6.174  G_cost: -0.353  
002-(96): D_cost: -5.412  Wasserstein_D: 6.074  G_cost: 0.767  
002-(97): D_cost: -5.550  Wasserstein_D: 6.313  G_cost: -1.404  
002-(98): D_cost: -5.486  Wasserstein_D: 6.214  G_cost: -1.167  
002-(99): D_cost: -5.262  Wasserstein_D: 5.959  G_cost: 0.409  
002-(100): D_cost: -5.440  Wasserstein_D: 6.191  G_cost: -0.931  
002-(101): D_cost: -5.633  Wasserstein_D: 6.466  G_cost: -1.361  
002-(102): D_cost: -5.351  Wasserstein_D: 6.041  G_cost: -0.075  
002-(103): D_cost: -5.374  Wasserstein_D: 6.003  G_cost: -1.385  
002-(104): D_cost: -5.513  Wasserstein_D: 6.330  G_cost: 0.032  
002-(105): D_cost: -5.437  Wasserstein_D: 6.043  G_cost: -0.404  
002-(106): D_cost: -5.254  Wasserstein_D: 5.856  G_cost: -0.603  
002-(107): D_cost: -5.467  Wasserstein_D: 6.251  G_cost: -1.398  
002-(108): D_cost: -5.544  Wasserstein_D: 6.337  G_cost: -1.109  
002-(109): D_cost: -5.306  Wasserstein_D: 5.965  G_cost: -0.522  
002-(110): D_cost: -5.467  Wasserstein_D: 6.147  G_cost: -1.771  
002-(111): D_cost: -5.524  Wasserstein_D: 6.204  G_cost: 0.304  
002-(112): D_cost: -5.282  Wasserstein_D: 5.863  G_cost: -0.530  
002-(113): D_cost: -5.258  Wasserstein_D: 5.928  G_cost: -1.529  
002-(114): D_cost: -5.492  Wasserstein_D: 6.265  G_cost: -1.476  
